【阿黨比周】	相互勾結，相互偏袒，結黨營私。
【阿平絕倒】	據《晉書·衛玠傳》及《王澄傳》載，玠好言玄理。琅玡王澄字平子，兄暱稱之曰：“阿平”。有高名，少所推許，每聞玠言，輒嘆息絕倒。故時為之語曰：“衛玠談道，平子絕倒。”後因以“阿平絕倒”謂對對方的言論極為佩服。亦用為譏諷言論極為乖謬，常貽笑大方。
【阿權膴仕】	阿附權勢，以求得高位厚祿。
【阿時趨俗】	迎合世俗和時尚。
【阿世媚俗】	曲意迎合當時社會的陳規陋俗。
【阿世取容】	迎合世俗，取悅於人。
【阿意取容】	曲從其意，以取悅於人。
【阿諛取容】	曲意奉承，取悅於人。
【哀兵必勝】	《老子》：“故抗兵相加，哀者勝矣。”王弼註：“抗，舉也。加，當也。哀者必相惜，而不趣利避害，故必勝。”任繼愈註：“哀，沉痛，悲憤。”後遂謂因受壓而悲憤的一方，定能克敵制勝。
【哀而不傷】	謂悲傷而不過分。儒家詩教的重要命題。指詩歌、音樂不失中和之美。《論語·八佾》：“《關雎》樂而不淫，哀而不傷。”何晏集解：“孔曰：‘哀不至傷，言其和也。’”硃熹集註：“傷者，哀之過而害於和者也。”魯迅《漢文學史綱要》第二篇：“哀而不傷，樂而不淫，雖詩歌，亦教訓也。”亦謂貌似悲哀而實不傷心。
【哀感頑艷】	《文選·繁欽〈與魏文帝箋〉》：“詠北狄之遐征，奏胡馬之長思，淒入肝脾，哀感頑艷。”呂延濟註：“頑鈍艷美者皆感之。”後遂以“哀感頑艷”形容詩文的詞旨淒惻動人。
【哀鴻遍野】	比喻到處都是流離失所的災民。
【哀毀骨立】	亦作“哀毀瘠立”。形容因居親喪悲損其身，瘦瘠如骨骸支立。語本《後漢書·韋彪傳》：“父母卒，哀毀三年……服竟，羸瘠骨立異形。”
【哀毀瘠立】	見“哀毀骨立”。
【哀絲豪竹】	指悲壯的樂聲。絲，指絃樂器；竹，指管樂器。
【唉聲嘆氣】	見“唉聲嘆氣”。
【唉聲嘆氣】	亦作“唉聲嘆氣”。因傷感、煩悶或痛苦而發出嘆息聲。
【挨風緝縫】	謂多方鑽營。
【挨肩並足】	形容人群擁擠。
【挨肩擦膀】	謂身體相貼近。
【挨肩擦背】	形容人群擁擠。
【挨肩疊背】	形容人群擁擠。
【挨三頂五】	又作：三五成群。
【挨山塞海】	形容人多擁擠。
【捱風緝縫】	多方鑽營。
【捱三頂四】	形容人群擁擠，接連不斷。
【捱三頂五】	見“捱三頂四”。
【噯聲嘆氣】	因傷感、煩悶或痛苦而發出嘆息的聲音。
【矮人觀場】	同“矮子看戲”。
【矮人看場】	同“矮子看戲”。
【矮人看戲】	見“矮子看戲”。
【矮子觀場】	同“矮子看戲”。
【矮子看戲】	喻己無所見而隨聲附和。
